Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
1,191028_3,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,88,314.4,8.62,0,0.029,173.7,120.8,228.2,56.6,41,106.2,4.326,7.1,0.049,54.5,33.9,26.6,,,,,,,,,94.6,96.1,12.946,83.2
2,191028_4,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,90,307.4,7.767,1.7,0.032,177.3,67.9,221.9,22.9,65,111.7,3.842,12.2,0.043,44.6,45.5,23.2,,,,,,,,,,,11.609,46.1
3,191028_5,APOE2/2F,F,APOE2/2,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,103,356.9,16.958,0.3,0.049,259.9,87.3,330.8,37.4,75,94.1,7.144,8.1,0.075,70.9,24.7,16.7,,,,,,,,,61.2,55.6,24.102,54.1
4,191028_6,APOE2/2M,M,APOE2/2,B,openfield,1,2Objects_NOR_2,,,,,,,,,,,,,,,,,76,296.4,6.867,0,0.025,136.3,134.1,194.6,40.8,43,97.4,5.107,2.9,0.052,58.3,40.7,9,,,,,,,,,,,11.974,49.8
5,191028_7,APOE2/2M,M,APOE2/2,B,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,110,344,10.83,13.7,0.039,211.3,63.2,314.3,41.4,73,92.7,9.253,0,0.074,103,22.2,12.8,,,,,,,,,44.9,47.4,20.083,54.2
6,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR,9,10.5,0.555555556,1.1,9,1.6,4.4,0,9,8.4,0.444444444,0,7.6,0.8,3.8,0,21,58.4,4.388,5.2,0.078,47.3,8.8,66.2,3.6,14,20,1.079,0,0.05,18.9,2.6,0,6,12.2,68,0.7,4,3.8,79.5,0,17.4,11.8,5.467,3.6
7,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR_2,9,12.2,0.484126984,14,12.2,0,4.8,0,11,13,0.515873016,10.9,13,0,4.8,0,30,46.6,3.59,0.2,0.081,40.2,4.1,68.7,0,26,33.9,2.405,14.3,0.084,28.5,0,0,8,11.2,45.2,0,10,14.1,50.8,0,,,5.995,0
8,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,1,2Objects_NOR,8,10.1,0.372693727,3.7,10.1,0,1.9,0,10,17,0.627306273,8.1,9.4,7.6,4.4,0,20,42.5,3.602,1.2,0.08,42.5,2.5,70.9,0,24,40.7,1.822,4.9,0.054,28.4,5.1,0,5,3.6,60,0,9,14.7,18.3,0.1,16.4,15.8,5.424,0
9,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,1,2Objects_NOR_2,4,6,0.582524272,42.1,2.9,3,1.8,0,5,4.3,0.417475728,30.3,4.3,0,3,0,21,65.3,4.183,0,0.068,56.5,4.9,66.3,1.1,10,22.1,0.909,12.3,0.092,9.8,0,0,7,7.3,,0,6,13,33.7,0.1,,,5.092,1.1
10,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,1,2Objects_NOR,7,8,0.446927374,3.3,8,0,3.5,0,7,9.9,0.553072626,1.6,9.9,0,3.7,0,28,49.4,3.567,7.7,0.076,42,4.8,68,0,16,39.4,1.344,0,0.038,26,9.2,1.3,6,9.6,46.2,0,9,18,60.6,0,15.9,8.5,4.911,1.3
11,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,2,2Objects_NOR,4,6.9,0.621621622,51.7,5.1,1.8,3.6,1.4,5,4.2,0.378378378,21.6,4.2,0,2.2,0,25,79,2.421,4.2,0.029,40.8,43.8,46.6,19.8,8,8.8,0.327,0,0.057,5.8,0,0,4,4.4,60.7,0,2,0.7,,0,21.9,22.1,2.748,19.8
12,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,2,2Objects_NOR_2,7,8.2,0.672131148,5.6,8.2,0,1.3,0,5,4,0.327868853,2.8,4,0,1.3,0,23,60.3,2.216,1.2,0.041,40.4,13.7,56.4,1.1,21,20.5,1.121,52.5,0.07,16,0,0,4,6.5,53.7,0,6,9.9,11.6,0.1,,,3.337,1.1
13,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,2,2Objects_NOR,6,8.8,0.578947368,12.2,8.8,0,1.9,0,4,6.4,0.421052632,2.3,4,2.4,2.2,1.3,16,72.4,3.877,0.3,0.052,56.8,17.7,71.9,4.2,14,22.3,1.093,0.7,0.063,15.1,2.4,1.3,4,7.4,65.1,0,6,4.5,61,0,16.1,15.3,4.97,5.5
14,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,2,2Objects_NOR_2,3,4.7,0.824561404,3.3,0.8,3.9,0.7,0,1,1,0.175438597,3.9,1,0,0.9,0,27,73.7,0.923,1.2,0.01,26.7,68.2,29.7,51.7,5,8.3,0.269,2.6,0.091,3,0,0,2,0.5,,0,3,3.4,,0,,,1.192,51.7
15,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,2,2Objects_NOR,2,2.4,0.15,16.4,2.4,0,0.6,0,11,13.6,0.85,10.2,10.4,3.2,2.7,0,19,65.9,1.974,2,0.038,31.5,20,39.4,13.8,14,14.4,0.518,0,0.059,7.9,0.9,0,4,10.3,105,1.3,4,2.8,39.3,0,13,10.2,2.492,13.8
16,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,3,2Objects_NOR,2,1.4,0.191780822,11.5,1.4,0,0,0,5,5.9,0.808219178,0,5,0.9,4.6,0,20,70.1,1.613,1.2,0.021,32.5,45.8,36.2,34.2,9,7.4,0.373,0,0.101,3.7,0,0,6,7.9,,0,3,1.2,,0,14.6,25.2,1.986,34.2
17,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,3,2Objects_NOR_2,6,15.7,0.566787004,10.2,15.7,0,2.7,0,17,12,0.433212996,7.1,10,1.9,3.6,0,12,20.7,0.365,0,0.013,12.9,16,61.4,9.6,23,40.6,1.539,6.9,0.032,48.5,0,0,16,15.1,6.6,0,9,11.3,66.1,0,,,1.904,9.6
18,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,3,2Objects_NOR,2,2.8,0.4,2.1,2.8,0,0,0,4,4.2,0.6,51.1,4.2,0,3.1,0,11,97,2.411,0,0.023,38.8,63.8,38.8,50.3,1,3,0,,,0,0,0,1,0.4,,0,3,5.1,,0,31.2,14.9,2.411,50.3
19,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,3,2Objects_NOR_2,6,9.5,0.71969697,0.3,5.9,3.6,5.5,3.6,4,3.7,0.28030303,6.7,3.7,0,0.7,0,21,38.4,1.171,0,0.032,22.1,14.8,31.7,3.9,19,19.2,0.603,62.3,0.063,9.6,0,0,7,10,,0,2,5.2,26.8,0,,,1.774,3.9
20,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,3,2Objects_NOR,5,2.5,0.277777778,6.9,2.5,0,0.8,0,6,6.5,0.722222222,24.6,6.5,0,1.3,0,23,71.9,2.187,0.9,0.027,39.9,40.6,45.3,28.6,7,11.4,0.495,21.5,0.092,5.4,0,0,3,5.9,75.1,0,2,2.1,,0,36.7,36.7,2.682,28.6
21,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,4,2Objects_NOR,3,4.8,0.3,27.9,4.8,0,2.9,0,6,11.2,0.7,26.3,11.2,0,6.3,0,17,57.4,2.019,3.2,0.03,36.9,30.3,49,11.9,12,18.9,0.906,0.8,0.075,12.1,0,0,6,8,88.4,0,4,3,86.4,0,24.5,26.5,2.925,11.9
22,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,4,2Objects_NOR_2,1,3.6,0.130909091,47.5,3.6,0,0,0,8,23.9,0.869090909,7.8,6.9,17,4.6,1,20,37.4,0.74,0,0.024,15.2,15.5,37.6,6.6,14,38,1.597,45.4,0.044,22.4,13.8,1,5,6.8,57.8,0,6,13.8,68.9,0,,,2.337,7.6
23,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,4,2Objects_NOR,2,0.6,1,17.5,0.6,0,0.2,0,0,0,0,,0,0,0,0,15,105.2,3.782,0,0.033,62.8,53.5,63.1,36.4,1,0.5,0.235,9,0.807,0.3,0,0,1,1,,0,2,1.4,9,0,22.3,13.4,4.017,36.4
24,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,4,2Objects_NOR_2,0,0,,,0,0,0,0,0,0,,,0,0,0,0,14,56.5,1.651,0,0.02,41.3,43.1,41.3,45,0,0,0,,,0,0,0,4,4,,0,1,4.5,104.3,0,,,1.651,45
25,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,4,2Objects_NOR,3,5.3,0.609195402,30,3.9,1.4,2.2,0,3,3.4,0.390804598,1.2,3.4,0,0.5,0,16,69.9,2.021,2.2,0.024,36.4,48.9,42,24.7,7,7.5,0.306,0,0.054,5.6,0,0,1,0.2,,0,1,0.6,,0,17.5,28.6,2.327,24.7
26,191028_3,APOE2/2F,F,APOE2/2,A,Dilutions,5,2Objects_NOR,0,0,0,,0,0,0,0,1,0.1,1,29.1,0,0.1,0.1,0,10,72.3,1.992,1.6,0.017,42.8,73.1,45.5,51.4,2,2,0.304,0,0.112,2.7,0,0,2,1.2,86.3,0,1,0.1,,0,44.2,35.4,2.296,51.4
27,191028_4,APOE2/2F,F,APOE2/2,A,Dilutions,5,2Objects_NOR_2,2,3.6,0.972972973,24.4,1.6,2,1.9,0,1,0.1,0.027027027,67.5,0.1,0,0.1,0,17,93,1.138,0.4,0.012,25.4,73.4,28.1,66.5,3,3.9,0.265,0,0.097,2.7,0,0,1,1.3,,0,1,3.4,,0,,,1.403,66.5
28,191028_5,APOE2/2F,F,APOE2/2,A,Dilutions,5,2Objects_NOR,4,4.9,0.576470588,22.3,4.9,0,0.1,1.2,3,3.6,0.423529412,36.5,1.5,2.1,3,1.1,17,85.1,2.636,0.5,0.026,51.9,49.9,53,40.8,4,6,0.061,0,0.054,1.1,0,0,1,4.2,109.9,2,0,0,,0,30.4,34.3,2.697,40.8
29,191028_6,APOE2/2M,M,APOE2/2,B,Dilutions,5,2Objects_NOR_2,7,5.8,0.878787879,31,0.9,4.9,2.1,0.7,1,0.8,0.121212121,23.1,0.8,0,0.3,0,18,67,2.128,1.5,0.031,46.7,22.7,52.8,6.9,7,8.2,0.368,0,0.06,6.1,0,0,3,5,,0,5,7,72.4,0,,,2.496,6.9
30,191028_7,APOE2/2M,M,APOE2/2,B,Dilutions,5,2Objects_NOR,6,9.8,0.56,29,6.4,3.4,2.3,0,8,7.7,0.44,5.6,4.2,3.5,4,0,16,46.4,1.767,0.8,0.028,24.9,38.8,34,25.4,10,23.6,0.471,47.4,0.032,9.1,5.5,0,1,2.5,,0,3,11.1,48.3,0,9.2,8.1,2.238,25.4
31,191028_4,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,1,2Objects_NOR_2,8,13.4,0.600896861,7.3,11.3,2,4.6,0,5,8.9,0.399103139,36.1,8.9,0,0.6,0,16,52.4,1.471,0,0.021,35.8,35.4,48.9,28.7,10,13.4,0.7,18.1,0.054,13.1,0,0,,,,,,,,,,,2.171,28.7
32,191028_3,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,1,2Objects_NOR,1,3.3,0.6,60.6,3.3,0,0,0,4,2.2,0.4,44.7,1.9,0.3,0.7,0,12,83.4,1.294,0,0.017,30.6,44.6,35.1,39.3,2,3.4,0.317,56.3,0.07,4.5,0,1.2,1,0.6,56.3,0,4,2.2,,0,15.4,15.4,1.611,40.5
33,191028_5,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,1,2Objects_NOR,2,2.1,0.636363636,27.7,2.1,0,1.6,0,1,1.2,0.363636364,40,1.2,0,0.7,0,18,94,1.838,0,0.017,24.1,87.3,24.3,81.2,3,1.6,0.034,42.9,0.143,0.2,0,0,1,0.8,42.4,0,1,1.2,,0,43.6,50.7,1.872,81.2
34,191028_6,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,1,2Objects_NOR_2,4,6,1,11.2,3.8,2.3,1.9,0,0,0,0,,0,0,0,0,21,73.8,1.507,0.8,0.02,24.8,52,26.1,29.8,8,7.2,0,27,0,1.3,0,0,,,,,,,,,,,1.507,29.8
35,191028_7,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,1,2Objects_NOR,11,11.2,0.602150538,1.3,6.8,4.4,2.7,0.5,4,7.4,0.397849462,32.6,5,2.5,2,0,28,51.8,1.74,2.2,0.025,32.1,38.2,39.9,20.8,12,10.1,0.594,0,0.076,7.8,0,0,4,3.3,0.8,0.1,4,7.4,35.6,0,17.4,13.7,2.334,20.8
36,191028_3,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,2,2Objects_NOR,1,2,0.285714286,68.8,2,0,0.6,0,4,5,0.714285714,0,5,0,1.6,0,16,83.9,1.55,1.7,0.019,42.3,38.6,57.9,40.2,9,14.4,1.1,0,0.071,15.6,0,1.5,5,3.1,25.1,0,4,5,78.6,0.2,7.5,9.6,2.65,41.7
37,191028_4,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,2,2Objects_NOR_2,5,2.8,0.243478261,1.9,2.8,0,0.4,0,5,8.7,0.756521739,3.9,8.7,0,2.7,0,19,64.3,1.648,10.5,0.02,33,49.9,47.7,35.3,4,15.5,1.037,0,0.071,14.7,0,0,,,,,,,,,,,2.685,35.3
38,191028_5,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,2,2Objects_NOR,1,2,0.377358491,118,2,0,0.2,0,3,3.3,0.622641509,64.4,0.1,3.1,1,0,27,87.6,2.206,1.5,0.021,43,64.3,46.1,46.2,5,3.9,0.238,0,0.078,3.1,0,0,4,2.8,0.4,0,3,3.3,,0,30,29.4,2.444,46.2
39,191028_6,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,2,2Objects_NOR_2,8,7.2,0.553846154,1.8,4.3,2.9,3.7,1.3,3,5.8,0.446153846,72.5,5.8,0,1.5,0,9,81.6,2.586,3.3,0.03,57.7,27.3,76.3,15.9,8,22.2,0.828,0,0.035,18.6,4.9,1.3,,,,,,,,,,,3.414,17.2
40,191028_7,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,2,2Objects_NOR,2,0.8,0.307692308,103.2,0.8,0,0.6,0,3,1.8,0.692307692,7.7,1.8,0,0.9,0,12,84.4,1.963,1.1,0.021,35.6,58.4,38.9,39.8,6,4.9,0.271,0,0.082,3.3,0,0,4,5.9,9.2,0,3,1.8,,0,22.9,18.5,2.234,39.8
41,191028_3,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR,2,3.8,0.395833333,97.3,3.8,0,1.5,0,4,5.8,0.604166667,71.5,2.8,3,2.7,1.6,18,90.7,1.539,0.8,0.018,41.6,45,44.6,34.5,5,6.5,0.247,0,0.082,3,0,0,2,0.4,0,0,3,0.7,80.8,0,8.1,12.6,1.786,34.5
42,191028_4,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR_2,8,7.4,0.318965517,15.9,3.5,3.9,1.1,0,6,15.8,0.681034483,0,15.8,0,2,0,24,58.9,1.61,1.5,0.021,34.1,40.9,51.3,27.4,9,24.5,1.48,0,0.086,17.2,0,0,2,0.9,0.6,0.1,1,0.3,106.5,0,,,3.09,27.4
43,191028_5,APOE2/2F,F,APOE2/2,A,Day2_IdenticalObject,3,2Objects_NOR,9,13.2,0.47311828,7,13.2,0,2.5,0,6,14.7,0.52688172,24.6,10,4.7,4.3,0,13,59.2,2.346,0.6,0.04,32.3,25.8,56.7,18.1,11,30.1,0.947,0,0.03,24.4,6.7,2.9,2,0.6,83.2,0,1,0.4,73.9,0,14.2,9.7,3.293,21
44,191028_6,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,3,2Objects_NOR_2,0,0,0,,0,0,0,0,1,1.5,1,100.2,1.5,0,0.6,0,9,110.7,2.429,0,0.022,38.5,72.1,43,63.7,4,4.9,0.472,67.9,0.105,4.5,0,0,1,0.4,67.9,0,1,0.6,73.3,0,,,2.901,63.7
45,191028_7,APOE2/2M,M,APOE2/2,B,Day2_IdenticalObject,3,2Objects_NOR,3,3,0.545454546,3.2,2.4,0.7,1.7,0,3,2.5,0.454545455,6.3,2.5,0,1,0,18,56.1,1.113,0,0.017,21.2,43.8,22.2,30.1,4,2.1,0.231,4.5,0.228,1,0,0,1,0.4,70.8,0,1,0.5,4.6,0,17.5,42.1,1.344,30.1
46,191028_3,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR,3,2.4,0.296296296,41.6,2.4,0,0.9,0,4,5.7,0.703703704,28.3,5.7,0,3.9,0,11,101.2,2.691,0.6,0.028,33.4,64.3,38.6,53.4,5,6.4,0.374,0,0.072,5.2,0,0,2,0.7,27.7,0,1,0.6,41,0,8.5,7.9,3.065,53.4
47,191028_4,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR_2,7,5,0.423728814,0,5,0,1.4,0,7,6.8,0.576271186,5.5,5.9,0.9,2.8,0.1,16,58.2,1.953,1.1,0.025,24.4,54.6,41.4,36.5,11,12.8,0.876,0,0.052,17,0,0,3,2.7,0.7,0,3,1.6,14.9,0,,,2.829,36.5
48,191028_5,APOE2/2F,F,APOE2/2,A,Day2_ShortTermMemory,4,2Objects_NOR,3,7.1,0.577235772,10.1,1.7,5.4,3.5,2.7,2,5.2,0.422764228,22.2,2.8,2.4,3.9,0,18,76.8,2.964,0.3,0.031,43.4,53.5,47,44.7,7,12.2,0.339,21.8,0.057,3.6,2.4,0,2,4.1,112.5,0,3,1.7,11.8,0,38.7,33.6,3.303,44.7
49,191028_6,APOE2/2M,M,APOE2/2,B,Day2_ShortTermMemory,4,2Objects_NOR_2,2,3,0.315789474,61,3,0,2,0,2,6.5,0.684210526,11.4,3.9,2.6,2.6,0,10,93.1,1.883,0,0.019,26,74.7,28.4,56.2,7,6.5,0.493,60.1,0.208,2.4,0,0,4,1.6,60,0.1,0,0,,0,,,2.376,56.2
50,191028_7,APOE2/2M,M,APOE2/2,B,Day2_ShortTermMemory,4,2Objects_NOR,0,0,0,,0,0,0,0,3,4.4,1,13.8,4.1,0.3,3.1,0,16,94.3,1.98,0,0.02,30,71.2,31.6,35.1,3,1.8,0.071,14,0.044,1.6,0,0,0,0,,0,1,0.5,57.7,0,14,16.7,2.051,35.1
52,191028_3,APOE2/2F,F,APOE2/2,A,Day3_Novel Object2,1,2Objects_NOR,1,0.6,0.4,37.6,0.6,0,0.6,0,1,0.9,0.6,85.2,0.9,0,0.8,0,16,101.2,4.273,0.7,0.04,63.9,42.1,65.2,39.2,3,0.8,0.456,0,0.362,1.3,0,0,4,2.2,6.2,0,2,0.1,0,0,23.9,21.4,4.729,39.2
53,191028_4,APOE2/2F,F,APOE2/2,A,Day3_Novel Object2,1,2Objects_NOR_2,6,12,0.46692607,9.2,12,0,4.2,1.4,8,13.7,0.53307393,20,10.2,3.5,2.6,1.2,14,66.3,1.987,0,0.031,38.8,25.7,61.4,11.1,16,27.4,1.383,9.1,0.047,22.6,6.9,2.6,5,6,8.9,0.3,3,1.5,84.7,0,,,3.37,13.7
54,191028_5,APOE2/2F,F,APOE2/2,A,Day3_Novel Object2,1,2Objects_NOR,7,18.8,0.614379085,49.1,11.5,7.3,2.4,0,5,11.8,0.385620915,13.6,11.8,0,3.4,0,16,65.6,3.686,1.5,0.055,54.5,13,67.9,3.5,12,19.7,1.141,0,0.06,13.4,5.6,0,5,1.2,63.4,0,3,0.8,57.9,0,10.5,8.7,4.827,3.5
55,191028_6,APOE2/2M,M,APOE2/2,B,Day3_Novel Object2,1,2Objects_NOR_2,4,2.7,1,30.9,0.7,2,2.5,1.3,0,0,0,,0,0,0,0,13,97,1.746,0,0.017,28.1,75.4,29.9,79.7,2,2.1,0.133,80.4,0.073,1.8,0,0,0,0,,0,1,2.7,80.5,0,,,1.879,79.7
56,191028_7,APOE2/2M,M,APOE2/2,B,Day3_Novel Object2,1,2Objects_NOR,2,4.4,0.444444444,24.7,4.4,0,0.5,0,4,5.5,0.555555556,31.9,5.5,0,1,0,18,79.3,3.419,0.5,0.039,36.5,50.3,51.3,30,10,14.1,0.705,35.5,0.038,14.8,3.7,0,2,0.6,35.4,0,4,5.7,0,0.7,17.5,18.9,4.124,30
57,191028_3,APOE2/2F,F,APOE2/2,A,Day5_NovelObject3,1,2Objects_NOR,4,5.2,0.390977444,49.5,5.2,0,1.1,0,4,8.1,0.609022556,35,5,3.2,2.5,0,18,78.1,4.131,0,0.055,48.4,27.2,60.8,20.6,12,19.2,1.177,8,0.079,12.4,2.5,0,2,1.2,34.4,0,6,6.5,8,0.2,17.6,17.8,5.308,20.6
58,191028_4,APOE2/2F,F,APOE2/2,A,Day5_NovelObject3,1,2Objects_NOR_2,5,11.1,0.411111111,11.4,8.2,2.9,3.2,0,11,15.9,0.588888889,0,10.8,5.1,7.9,1.8,13,65.2,1.135,1.8,0.018,28.8,34.4,52.1,15.8,12,28.2,1.144,10.1,0.049,23.3,0,0,3,1.5,44.2,0,3,1.1,3.9,0,,,2.279,15.8
59,191028_5,APOE2/2F,F,APOE2/2,A,Day5_NovelObject3,1,2Objects_NOR,4,5.1,0.356643357,16.8,5.1,0,2.1,0,4,9.2,0.643356643,7.1,7.1,2.1,2.9,0,13,91.7,3.611,0,0.04,43.3,47.6,52.4,33.3,8,12.9,0.887,6.7,0.097,9.1,0,0,4,1.5,9.5,0,4,2.3,6.6,0.1,18.1,18.9,4.498,33.3
60,191028_6,APOE2/2M,M,APOE2/2,B,Day5_NovelObject3,1,2Objects_NOR_2,5,8.3,0.553333333,2.5,8.3,0,1.9,0,5,6.7,0.446666667,12.3,4.2,2.5,2.8,0.7,17,73.6,2.334,3.9,0.033,49.4,21.9,66.5,22.4,7,17.2,1.054,0,0.054,17.1,2.5,0,2,0.8,107.1,0,2,1,0.8,0,,,3.388,22.4
